Orthogroup	Desulfocapsa_06_corrosive	Desulfotalea psychrophila LSv54
OG0000000	Utg323632_218	WP_011190064.1
OG0000000	Utg323074_126	WP_011189962.1
OG0000000	Utg323152_90	WP_156792258.1
OG0000000	Utg323140_46	WP_011188283.1
OG0000000	Utg323140_105	WP_011187621.1
OG0000000	Utg323632_66	WP_041277753.1
OG0000000	Utg323990_84	WP_041278710.1
OG0000000	Utg323392_13	WP_011187582.1
OG0000000	Utg323180_69	WP_011188526.1
OG0000000	Utg323152_529	WP_049785130.1, WP_011187784.1
OG0000001	Utg323180_225	WP_011188793.1, WP_011187475.1
OG0000001	Utg323300_105	WP_011187505.1
OG0000001	Utg325220_101	WP_011189031.1
OG0000001	Utg323180_418, Utg323074_106, Utg323180_183	WP_049785109.1
OG0000002	Utg323300_31	WP_041277844.1
OG0000002	Utg323632_46	WP_011188785.1
OG0000002	Utg323300_202	WP_011188678.1
OG0000003	Utg323632_206	WP_011188222.1
OG0000004	Utg323152_588	WP_162096636.1
OG0000004	Utg323180_502	WP_011190354.1
OG0000004	Utg323632_135	WP_162096666.1
OG0000005	Utg323300_198, Utg323152_472, Utg323392_2, Utg323140_137, Utg323152_391	WP_011189533.1, WP_011188126.1
OG0000005	Utg323316_116	WP_011187985.1
OG0000006	Utg323262_137	WP_156792195.1
OG0000007	Utg323632_239	WP_011189794.1
OG0000007	Utg323632_51	WP_011188868.1
OG0000007	Utg323316_118	WP_011188995.1
OG0000007	Utg323180_130	WP_011187745.1
OG0000009	Utg323140_138, Utg323392_3	WP_049785091.1
OG0000009	Utg323180_288	WP_011189261.1
OG0000011	Utg323180_549	WP_011188428.1, WP_011187691.1
OG0000012	Utg323392_111	WP_041278033.1
OG0000012	Utg323140_106	WP_041277505.1
OG0000012	Utg323632_113	WP_156792326.1
OG0000013	Utg323140_219	WP_011188729.1
OG0000013	Utg323140_226	WP_011188732.1
OG0000014	Utg324810_58	WP_083818925.1
OG0000015	Utg323392_212, Utg323632_27	WP_041277718.1
OG0000015	Utg323140_90	WP_228130190.1
OG0000015	Utg325220_80	WP_011187538.1
OG0000016	Utg323152_301	WP_011189892.1
OG0000016	Utg323300_334	WP_049785056.1
OG0000017	Utg323990_184	WP_011188698.1
OG0000017	Utg323990_194	WP_011188693.1
OG0000018	Utg323152_201	WP_011189821.1
OG0000019	Utg323140_131	WP_011189126.1
OG0000020	Utg323300_116	WP_011189009.1
OG0000021	Utg323152_38	WP_011188449.1
OG0000023	Utg323392_65, Utg323180_593	WP_041277852.1
OG0000024	Utg323180_286	WP_011188931.1
OG0000024	Utg323074_45	WP_011189217.1
OG0000025	Utg323300_113, Utg323140_34, Utg323316_176, Utg323180_632, Utg323180_229, Utg323152_140, Utg323140_139, Utg323392_180, Utg323316_342, Utg323316_341, Utg323180_435, Utg323632_121, Utg323392_70	WP_162096631.1
OG0000026	Utg323300_371	WP_041278328.1
OG0000027	Utg323300_117	WP_011189010.1
OG0000027	Utg323300_118	WP_011190227.1
OG0000027	Utg323392_79, Utg323180_188	WP_011187726.1
