Orthogroup	Desulfocapsa_06_corrosive	Shewanella oneidensis MR-1
OG0000000	Utg323180_444	WP_011073030.1
OG0000000	Utg323262_151, Utg323180_138	WP_011074304.1
OG0000000	Utg323180_238, Utg323316_173	WP_011074101.1
OG0000000	Utg323262_120	WP_011072957.1
OG0000001	Utg323180_225	WP_011074067.1, WP_011073330.1
OG0000001	Utg323180_510	WP_011070909.1
OG0000001	Utg323300_105, Utg324810_63	WP_011072190.1
OG0000001	Utg323316_129	WP_011073890.1
OG0000001	Utg323180_418, Utg323074_106, Utg323180_183	WP_011071723.1
OG0000002	Utg323632_46	WP_011071850.1
OG0000002	Utg323316_94	WP_011071490.1
OG0000002	Utg323300_202, Utg323160_86	WP_011071300.1
OG0000003	Utg323632_206	WP_011073164.1
OG0000003	Utg323180_390	WP_011074095.1
OG0000004	Utg323266_65, Utg323316_191, Utg323152_14, Utg323152_471, Utg323074_85, Utg323180_529, Utg323300_52, Utg323152_27, Utg323300_412, Utg323266_76, Utg323266_66, Utg323180_453, Utg323152_588, Utg323180_502, Utg323180_462, Utg323152_104, Utg323180_416, Utg323632_135, Utg323180_613, Utg323180_419, Utg323262_186, Utg323300_14	WP_011073049.1, WP_011073640.1
OG0000005	Utg323152_391	WP_011071458.1
OG0000005	Utg323632_133	WP_164925775.1
OG0000006	Utg323990_58	WP_011071478.1
OG0000006	Utg323632_356	WP_238560533.1
OG0000006	Utg323180_218, Utg323180_148	WP_011072409.1
OG0000007	Utg323632_239	WP_011074183.1
OG0000007	Utg323632_51	WP_164925702.1
OG0000007	Utg323152_106	WP_011072831.1
OG0000007	Utg323262_116	WP_011071147.1
OG0000007	Utg323632_81	WP_011073487.1
OG0000008	Utg323632_80	WP_011071114.1
OG0000008	Utg323160_91, Utg323262_89	WP_011072998.1
OG0000008	Utg323300_42	WP_011073161.1
OG0000008	Utg323300_399	WP_011072024.1
OG0000008	Utg323392_185	WP_011073334.1
OG0000009	Utg323632_134	WP_011071150.1, WP_011073726.1
OG0000009	Utg323140_138, Utg323392_3	WP_164925773.1
OG0000009	Utg323180_288	WP_011071594.1
OG0000011	Utg323180_549	WP_011073029.1
OG0000012	Utg323140_106	WP_011073115.1
OG0000013	Utg323180_152, Utg323140_78	WP_011073862.1
OG0000014	Utg323392_110	WP_011074106.1, WP_011073413.1, WP_011074228.1
OG0000014	Utg324810_58	WP_011074069.1
OG0000015	Utg323392_212, Utg323632_27	WP_011072514.1
OG0000015	Utg325220_80	WP_011072017.1
OG0000015	Utg323140_91	WP_011071264.1
OG0000016	Utg323300_407, Utg323300_334	WP_011072497.1
OG0000017	Utg323990_184	WP_011071143.1
