Orthogroup	Desulfotalea psychrophila LSv54	Other
OG0000033	WP_041277486.1	WP_217909439.1
OG0000049	WP_049785016.1	Utg323180_54
OG0000049	WP_049785016.1	WP_015402823.1
OG0000148	WP_011190200.1	WP_136806118.1
OG0000238	WP_011190078.1	Utg857682_139
