row,baseMean,log2FoldChange,lfcSE,stat.x,pvalue,padj,aa,gene,stat.y,bin,max_annot_lvl,Preferred_name,COG_category,PFAMs,Description
Cluster 60585,1496.1711189606362,-27.926790933950873,2.723918120187519,-10.252434068035917,1.1540024200989456e-24,7.315682941975255e-20,114,Utg270876_31,*,concoct_sample10.txt.012.emapper.annotations,1117|Cyanobacteria,-,S,DUF559,Protein of unknown function (DUF559)
Cluster 20540,597.3250853754419,-26.669793715703175,2.7594592322840716,-9.664862377266555,4.2519101889119665e-22,1.3477279725794261e-17,355,Utg273906_3,*,concoct_sample10.txt.012.emapper.annotations,91061|Bacilli,-,L,DDE_Tnp_1_3,Transposase DDE domain
Cluster 77799,326.8382542620342,-25.839652294294968,2.836814847608674,-9.108684804042394,8.338665455499062e-20,1.1827650900972904e-15,41,Utg270866_1648,*,NA,NA,NA,NA,NA,NA
Cluster 32117,322.7548178019888,-25.82611852715737,2.8391259335425234,-9.096503336480321,9.328683235773816e-20,1.1827650900972904e-15,264,Utg276970_2,*,concoct_sample10.txt.012.emapper.annotations,91061|Bacilli,-,L,DDE_Tnp_1_3,Transposase DDE domain
Cluster 11783,267.0567444869695,-25.5746971745084,2.878005822948617,-8.88625623012334,6.320250516891535e-19,6.677766021130366e-15,456,Utg271510_38,*,concoct_sample10.txt.012.emapper.annotations,57723|Acidobacteria,-,L,"GIIM,RVT_1,RVT_N",PFAM RNA-directed DNA polymerase (Reverse transcriptase)
Cluster 71142,246.80289964514424,-25.455216940779096,2.897002662421895,-8.786742680967551,1.5395888248733856e-18,1.1511616764490348e-14,70,Utg270866_209,*,NA,NA,NA,NA,NA,NA
Cluster 56221,426.1474289703384,-25.44264427196248,2.795426486539556,-9.101525078363908,8.907215369839701e-20,1.1827650900972904e-15,133,Utg270824_9,*,concoct_sample10.txt.012.emapper.annotations,186801|Clostridia,-,L,DDE_Tnp_1_3,PFAM transposase IS4 family protein
Cluster 77589,230.63249126336444,-25.36194120594125,2.914054369705453,-8.703317779381305,3.2231973948844616e-18,1.8575579604664142e-14,42,Utg270866_8,*,NA,NA,NA,NA,NA,NA
Cluster 27214,281.5937782847311,-25.284401947482614,2.866320237941722,-8.82120623257334,1.1323324878927245e-18,1.0254726533924482e-14,299,Utg270876_32,*,concoct_sample10.txt.012.emapper.annotations,91061|Bacilli,-,L,DDE_Tnp_1_3,Transposase DDE domain
Cluster 56065,225.40569259450632,-25.27040330771027,2.920242554307763,-8.653528889383836,4.9930996787914395e-18,2.6377713419775375e-14,134,Utg270866_2478,*,NA,NA,NA,NA,NA,NA
Cluster 78183,277.6736792830875,-25.19143762508133,2.8691741044282444,-8.780031015267149,1.634295846301119e-18,1.1511616764490348e-14,39,Utg270866_2479,*,NA,NA,NA,NA,NA,NA
Cluster 74248,224.58900530249724,-25.190887428785157,2.9212356326015954,-8.623367162734025,6.501358221013817e-18,2.9439078790210704e-14,58,Utg275014_16,*,NA,NA,NA,NA,NA,NA
Cluster 60789,194.20823803975944,-25.108343140955615,2.9641111620474727,-8.470783235947168,2.4374845869308554e-17,9.657618618993415e-14,113,Utg270950_60,*,concoct_sample10.txt.012.emapper.annotations,2|Bacteria,-,L,"DDE_Tnp_1,DDE_Tnp_1_3",Transposase DDE domain
Cluster 50390,214.135407964781,-24.98436213270908,2.9346188824381536,-8.513665022134479,1.6852038331514444e-17,7.122120786586844e-14,160,Utg270824_8,*,concoct_sample10.txt.012.emapper.annotations,976|Bacteroidetes,-,L,DDE_Tnp_1,Pfam Transposase DDE domain
Cluster 67508,153.700548356109,-24.810366074048957,3.0473565762438515,-8.14160255070315,3.900799390790405e-16,1.4546310387045115e-12,84,Utg270950_59,*,concoct_sample10.txt.012.emapper.annotations,976|Bacteroidetes,-,S,"Abhydrolase_1,Abhydrolase_6",Alpha/beta hydrolase family
Cluster 65816,148.47374968725092,-24.761904627458726,3.0612301773167783,-8.088873816461254,6.021891680250913e-16,2.1208433398768134e-12,91,Utg270866_3156,*,NA,NA,NA,NA,NA,NA
Cluster 17391,453.55779626894287,24.74961054444015,2.83733588497383,8.722834217658521,2.713233761460235e-18,1.7200274107401014e-14,388,Utg737576_39,*,binsanity_sample01.txt.014.emapper.annotations,976|Bacteroidetes,-,L,Transposase_mut,"Transposase, Mutator family"
Cluster 9418,145.5336754360182,-24.73403070059514,3.069455420006317,-8.058116934809314,7.747868574434329e-16,2.5850967389878415e-12,498,Utg270842_9,*,concoct_sample10.txt.012.emapper.annotations,2|Bacteria,-,L,"DDE_Tnp_1,DDE_Tnp_1_4",transposase activity
Cluster 78345,144.06363831040187,-24.685182169305506,3.0736889326849646,-8.031125696165427,9.658233753908953e-16,3.0613703529765207e-12,38,Utg270866_1649,*,NA,NA,NA,NA,NA,NA
Cluster 451,139.3268520167492,-24.679525064250594,3.087911473517039,-7.992303301409529,1.3244071734069921e-15,3.998069921474422e-12,1226,Utg270866_3415,*,maxbin_sample10.txt.007.emapper.annotations,28221|Deltaproteobacteria,-,T,"HATPase_c,HisKA,PAS_3,PAS_4,PAS_9,PocR,Response_reg",PAS fold
Cluster 865,138.1834898079365,-24.669360907755046,3.0914840302505686,-7.97977950601141,1.4659492568058531e-15,4.224199417543193e-12,1044,Utg270866_2545,*,NA,NA,NA,NA,NA,NA
Cluster 54271,135.57009047350743,-24.64422667439693,3.099865437485802,-7.950095632017189,1.8636759256717856e-15,4.923630547336405e-12,142,Utg270866_9,*,NA,NA,NA,NA,NA,NA
Cluster 70155,135.4067530151056,-24.64203195633826,3.100399501033548,-7.9480182951015195,1.895186704216222e-15,4.923630547336405e-12,74,Utg270866_3115,*,NA,NA,NA,NA,NA,NA
