Orthogroup	Desulfovibrio vulgaris DP4	Desulfotalea psychrophila LSv54
OG0000000	WP_011791609.1	WP_011190064.1
OG0000000	WP_011791326.1	WP_011187621.1, WP_041277753.1
OG0000000	WP_010938712.1, WP_011791434.1	WP_041278710.1
OG0000000	WP_011792079.1	WP_011187582.1
OG0000000	WP_011791966.1, WP_011793108.1	WP_011188526.1
OG0000000	WP_011791645.1	WP_049785130.1, WP_011187784.1
OG0000001	WP_011791528.1, WP_011791603.1	WP_011189956.1
OG0000001	WP_011791763.1	WP_041277893.1, WP_011188215.1
OG0000001	WP_223294637.1	WP_011189761.1, WP_011189031.1, WP_011187559.1, WP_011189221.1
OG0000001	WP_011792933.1	WP_049785109.1
OG0000001	WP_011793088.1	WP_041277878.1
OG0000002	WP_011793091.1	WP_041277525.1
OG0000002	WP_011793015.1	WP_041277737.1
OG0000002	WP_181409382.1	WP_011188232.1
OG0000002	WP_010938054.1	WP_011188476.1
OG0000002	WP_181409370.1	WP_011188678.1
OG0000002	WP_181409380.1	WP_011189225.1
OG0000002	WP_011792919.1	WP_041277652.1
OG0000003	WP_011793047.1	WP_011188222.1
OG0000004	WP_011791556.1	WP_011188268.1
OG0000005	WP_223294600.1, WP_011791535.1, WP_223294572.1, WP_011791961.1, WP_223294640.1, WP_011792884.1, WP_011791703.1, WP_011791404.1, WP_011791738.1, WP_011791849.1, WP_011792761.1, WP_011791751.1, WP_011791759.1	WP_011189533.1, WP_011188126.1
OG0000006	WP_011791840.1	WP_011190351.1
OG0000006	WP_011793189.1	WP_156792195.1
OG0000007	WP_011791331.1	WP_011189794.1
OG0000007	WP_010939647.1	WP_011188868.1
OG0000007	WP_223294679.1	WP_011187745.1
OG0000008	WP_011791653.1	WP_049785046.1
OG0000010	WP_010937635.1	WP_011187276.1
OG0000011	WP_011791648.1	WP_011190294.1
OG0000012	WP_011791325.1	WP_041278033.1
OG0000012	WP_010938711.1	WP_041277505.1
OG0000012	WP_011791433.1	WP_156792326.1
OG0000012	WP_011787301.1	WP_011188284.1
OG0000013	WP_010937451.1	WP_011188729.1
OG0000015	WP_011792453.1	WP_228130190.1
OG0000018	WP_011787361.1	WP_011189821.1
OG0000018	WP_011793112.1	WP_011187258.1
OG0000019	WP_010938382.1	WP_011189126.1
OG0000021	WP_010937476.1	WP_011187396.1
OG0000021	WP_011791863.1	WP_011188449.1
OG0000021	WP_010937477.1	WP_011187395.1
OG0000022	WP_011791894.1, WP_043629373.1	WP_011187482.1
OG0000024	WP_011791375.1	WP_011188931.1
OG0000024	WP_010940347.1	WP_011189217.1
OG0000026	WP_010938934.1	WP_041277628.1
OG0000027	WP_011791819.1, WP_011792816.1, WP_011791657.1	WP_011189010.1, WP_011190227.1
OG0000028	WP_011791856.1	WP_041277631.1
OG0000028	WP_010940221.1	WP_162096634.1
OG0000029	WP_011792424.1	WP_011189114.1
OG0000029	WP_010939259.1	WP_265588603.1
OG0000030	WP_010938266.1	WP_011188233.1
OG0000030	WP_011792766.1	WP_011187333.1
OG0000030	WP_010937417.1	WP_011189224.1
OG0000030	WP_010937694.1	WP_041277653.1
OG0000031	WP_011792678.1	WP_041277675.1
OG0000033	WP_011792395.1	WP_041277486.1
OG0000033	WP_011792568.1	WP_011187749.1
OG0000034	WP_011791654.1	WP_011188938.1
OG0000036	WP_011791649.1	WP_011190296.1, WP_083819006.1
OG0000036	WP_043629516.1	WP_011188430.1
OG0000038	WP_010938341.1	WP_083818947.1
OG0000038	WP_010938662.1	WP_011189861.1
OG0000039	WP_010940169.1, WP_010940065.1	WP_011188738.1
OG0000040	WP_043629357.1	WP_041277819.1
OG0000041	WP_011791655.1	WP_011188937.1
OG0000041	WP_011791420.1	WP_011189362.1
OG0000042	WP_011791387.1	WP_011187375.1
OG0000042	WP_011792450.1	WP_011189777.1
OG0000043	WP_010938268.1	WP_228130175.1, WP_041277539.1, WP_011187331.1
OG0000047	WP_223294624.1	WP_011187275.1, WP_011190450.1
