Orthogroup	Species	Desulfovibrio vulgaris DP4	Orthologs
OG0000000	Geobacter sulfurreducens PCA	WP_011791609.1	WP_010941477.1
OG0000000	Acidithiobacillus ferrooxidans YNTRS-40	WP_011791609.1	WP_009566311.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_011791609.1	WP_205218903.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_011791609.1	WP_136797951.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_011791609.1	WP_136805244.1
OG0000000	Desulfocapsa_13_biocide	WP_011791609.1	Utg858432_110
OG0000000	Desulfocapsa_06_corrosive	WP_011791609.1	Utg323632_218
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_011791609.1	WP_015405628.1
OG0000000	Desulfotalea psychrophila LSv54	WP_011791609.1	WP_011190064.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_011791609.1	WP_126376458.1
OG0000000	Geobacter sulfurreducens PCA	WP_011792763.1, WP_010938245.1, WP_011792839.1	WP_010943217.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_011792763.1	WP_126376149.1
OG0000000	Shewanella oneidensis MR-1	WP_010938245.1, WP_011792839.1	WP_011074304.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_010938245.1, WP_011792839.1	WP_136806168.1
OG0000000	Desulfocapsa_13_biocide	WP_010938245.1, WP_011792839.1	Utg859236_95
OG0000000	Desulfocapsa_06_corrosive	WP_010938245.1, WP_011792839.1	Utg323262_151
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_010938245.1, WP_011792839.1	WP_136798610.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_010938245.1, WP_011792839.1	WP_126379949.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_011791354.1	WP_167505846.1
OG0000000	Geobacter sulfurreducens PCA	WP_011791354.1	WP_010943160.1, WP_010940953.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_011793126.1	WP_205219382.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_011793126.1	WP_015403470.1
OG0000000	Geobacter sulfurreducens PCA	WP_011793126.1	WP_010941668.1, WP_010942297.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_011793126.1	WP_136798833.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_011793126.1	WP_136806855.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_011793126.1	WP_126379731.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_011791385.1	WP_136799830.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_011791385.1	WP_136809847.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_011791385.1	WP_015403104.1, WP_015404836.1
OG0000000	Desulfocapsa_13_biocide	WP_011791385.1	Utg859236_100
OG0000000	Desulfocapsa_06_corrosive	WP_011791385.1	Utg323262_146
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_011791326.1	WP_015403526.1, WP_015405714.1
OG0000000	Desulfocapsa_06_corrosive	WP_011791326.1	Utg323140_105, Utg323632_66
OG0000000	Desulfocapsa_13_biocide	WP_011791326.1	Utg864866_50, Utg858432_5
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_011791326.1	WP_136808232.1, WP_217909566.1
OG0000000	Desulfotalea psychrophila LSv54	WP_011791326.1	WP_011187621.1, WP_041277753.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_011791326.1	WP_275942930.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_011791326.1	WP_275888939.1
OG0000000	Desulfotalea psychrophila LSv54	WP_010938712.1, WP_011791434.1	WP_041278710.1
OG0000000	Desulfocapsa_06_corrosive	WP_010938712.1, WP_011791434.1	Utg323990_84
OG0000000	Desulfocapsa_13_biocide	WP_010938712.1, WP_011791434.1	Utg860006_129
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_010938712.1, WP_011791434.1	WP_015404574.1
