Orthogroup	Geobacter sulfurreducens PCA	Desulfovibrio vulgaris DP4
OG0000000	WP_010941477.1	WP_011791609.1
OG0000000	WP_010943217.1	WP_011792763.1, WP_010938245.1, WP_011792839.1
OG0000000	WP_010943160.1, WP_010940953.1	WP_011791354.1
OG0000000	WP_010941668.1, WP_010942297.1	WP_011793126.1
OG0000000	WP_010943144.1, WP_010941701.1	WP_010938045.1
OG0000000	WP_010941027.1	WP_010940219.1, WP_011792079.1
OG0000000	WP_010943112.1, WP_232008971.1	WP_011791966.1, WP_011793108.1
OG0000000	WP_010943974.1	WP_011792800.1, WP_011791917.1
OG0000000	WP_010942585.1	WP_011787340.1
OG0000000	WP_010941040.1, WP_010941138.1	WP_011792072.1
OG0000001	WP_010942201.1	WP_010937723.1
OG0000001	WP_010943962.1, WP_010943987.1, WP_010942950.1, WP_010942288.1, WP_010942315.1	WP_043629533.1, WP_010937422.1, WP_010939946.1
OG0000001	WP_010941620.1, WP_010943599.1, WP_010942049.1	WP_011792933.1
OG0000002	WP_165443456.1	WP_181409382.1
OG0000002	WP_010943290.1	WP_010939222.1
OG0000003	WP_010943291.1, WP_010941584.1, WP_010943573.1, WP_010943215.1, WP_010942023.1, WP_010941692.1, WP_010941415.1, WP_010941693.1, WP_010941068.1, WP_262421270.1, WP_010941696.1, WP_010941069.1, WP_010941695.1, WP_010941697.1, WP_010941408.1, WP_010941603.1, WP_010941245.1, WP_010943777.1	WP_011792407.1, WP_011791948.1, WP_011792936.1, WP_011792186.1, WP_011792805.1, WP_223294605.1, WP_011791943.1, WP_011792128.1, WP_011791758.1, WP_011793192.1, WP_011792991.1, WP_011791551.1, WP_011791517.1, WP_011791477.1, WP_011793099.1, WP_011792169.1, WP_011792750.1, WP_223294650.1, WP_011792521.1, WP_010939570.1, WP_011792180.1, WP_011792768.1, WP_011791461.1, WP_011792725.1, WP_011792622.1, WP_011793136.1, WP_010937493.1
OG0000003	WP_010941702.1	WP_011793047.1
OG0000005	WP_235044884.1	WP_011792798.1
OG0000005	WP_010941940.1	WP_223294600.1, WP_011791535.1
OG0000005	WP_010941379.1	WP_223294572.1, WP_011791961.1, WP_223294640.1, WP_011792884.1, WP_011791703.1, WP_011791404.1, WP_011791738.1
OG0000005	WP_010941920.1	WP_011791849.1, WP_011792761.1
OG0000005	WP_010943211.1, WP_010941570.1	WP_011791532.1
OG0000007	WP_010942419.1	WP_011791331.1
OG0000007	WP_010942909.1	WP_010939647.1
OG0000007	WP_010941615.1	WP_043629999.1
OG0000007	WP_010941994.1	WP_011791362.1, WP_223294679.1
OG0000008	WP_010941163.1	WP_010939710.1
OG0000008	WP_010943303.1	WP_011793161.1
OG0000008	WP_010943335.1	WP_011791653.1
OG0000008	WP_010942255.1	WP_223294613.1
OG0000009	WP_010942536.1	WP_011792516.1, WP_011787365.1
OG0000009	WP_010941672.1	WP_011791502.1
OG0000010	WP_010942620.1	WP_011787335.1
OG0000010	WP_010942158.1	WP_011791455.1, WP_011787338.1
OG0000010	WP_235044891.1	WP_011791544.1
OG0000012	WP_010941262.1, WP_010941254.1, WP_144011898.1	WP_011787301.1
OG0000013	WP_010941970.1, WP_010941778.1	WP_010940496.1, WP_010940473.1, WP_010937456.1, WP_010940225.1, WP_010940222.1, WP_010937451.1
OG0000015	WP_010943159.1	WP_011792453.1
OG0000015	WP_010941995.1	WP_011792075.1, WP_011791371.1
OG0000016	WP_010941944.1	WP_010938884.1
OG0000016	WP_010942863.1, WP_010942852.1	WP_010939351.1
OG0000018	WP_010942615.1, WP_010941284.1	WP_011791583.1
OG0000018	WP_010942606.1	WP_011793148.1
OG0000018	WP_010942605.1, WP_235045001.1	WP_011787361.1
OG0000018	WP_010944069.1	WP_011793112.1
OG0000019	WP_010941763.1	WP_010938382.1
OG0000021	WP_010943262.1	WP_011791398.1
OG0000021	WP_010943261.1	WP_010937477.1, WP_010939846.1
OG0000023	WP_010943047.1	WP_010939712.1, WP_010937960.1
OG0000024	WP_010940864.1	WP_010940347.1
OG0000024	WP_010941582.1	WP_011792124.1
OG0000026	WP_010942793.1	WP_010940054.1
OG0000026	WP_010943263.1, WP_010941067.1	WP_010938934.1
OG0000027	WP_010941441.1	WP_011791819.1, WP_011792816.1, WP_011791657.1
OG0000028	WP_010941609.1	WP_011791480.1, WP_011791856.1, WP_043629613.1, WP_010940221.1, WP_043629606.1, WP_010940474.1
OG0000030	WP_010944016.1	WP_011792490.1
OG0000030	WP_010943289.1	WP_010938266.1, WP_011792766.1
OG0000031	WP_010940767.1	WP_010939674.1
OG0000033	WP_010943225.1	WP_011792395.1
OG0000033	WP_010941969.1	WP_011792568.1
OG0000034	WP_010943334.1	WP_011791654.1
OG0000034	WP_010942256.1	WP_011792893.1
OG0000035	WP_010943212.1, WP_010941571.1	WP_011792514.1, WP_181409361.1, WP_011791918.1
OG0000035	WP_010942704.1	WP_010939346.1
OG0000038	WP_010940700.1	WP_010938341.1
OG0000038	WP_010943808.1	WP_010938662.1
OG0000039	WP_010943224.1	WP_011793158.1
OG0000040	WP_010942495.1	WP_043629357.1, WP_010937654.1
OG0000041	WP_153304094.1	WP_011791655.1
OG0000042	WP_010943811.1	WP_011792510.1
OG0000042	WP_010941591.1	WP_011791387.1
OG0000042	WP_010942434.1	WP_011792450.1
OG0000043	WP_010941851.1, WP_010942192.1	WP_010938268.1
OG0000045	WP_010942953.1	WP_011792363.1
OG0000046	WP_010941543.1	WP_011792325.1
OG0000047	WP_010942630.1	WP_011793001.1, WP_011787324.1
OG0000047	WP_262421271.1	WP_223294624.1
OG0000048	WP_010942268.1	WP_010940286.1
OG0000053	WP_010941160.1	WP_011792107.1
OG0000053	WP_010942464.1	WP_011792251.1
OG0000054	WP_010940843.1	WP_011792972.1
OG0000058	WP_010942454.1	WP_010938574.1
OG0000060	WP_041913993.1	WP_011792468.1
OG0000061	WP_010942269.1	WP_011791554.1
OG0000062	WP_010942081.1	WP_010939658.1, WP_011791830.1, WP_010937479.1
OG0000063	WP_010942168.1, WP_010942767.1	WP_010937703.1
OG0000064	WP_010941366.1, WP_010943519.1, WP_010943509.1, WP_010941276.1, WP_010943894.1	WP_011792376.1
OG0000064	WP_010943928.1	WP_010938346.1
OG0000065	WP_010941490.1	WP_010938763.1
OG0000065	WP_010942732.1	WP_010938364.1
OG0000067	WP_010942082.1	WP_011791864.1, WP_010937478.1, WP_010939732.1
OG0000069	WP_010943436.1, WP_010943903.1, WP_010943616.1	WP_010940354.1
OG0000069	WP_010942028.1	WP_010938241.1
OG0000070	WP_010942896.1	WP_011792560.1, WP_011792594.1
OG0000070	WP_235045000.1, WP_010942882.1, WP_010942892.1	WP_223294581.1
OG0000070	WP_010943652.1	WP_011792909.1
OG0000071	WP_010942652.1	WP_010940006.1, WP_010938017.1
OG0000072	WP_010942651.1	WP_010940007.1
OG0000074	WP_010943161.1	WP_011791681.1
OG0000074	WP_010940892.1	WP_010939694.1
OG0000075	WP_010944017.1	WP_010938534.1
OG0000075	WP_010941466.1	WP_010937693.1
OG0000076	WP_010941344.1, WP_010941953.1, WP_010941955.1, WP_010941803.1	WP_011792812.1
OG0000076	WP_010940969.1, WP_010943214.1, WP_010943053.1	WP_010939190.1
OG0000076	WP_010942860.1, WP_010942858.1	WP_223294670.1
OG0000077	WP_010942316.1	WP_010938705.1
OG0000077	WP_010941855.1	WP_011792992.1
OG0000078	WP_010942352.1	WP_011791625.1
OG0000079	WP_010942999.1	WP_011792883.1
OG0000080	WP_010940950.1	WP_223294589.1
OG0000082	WP_010941678.1, WP_010943655.1	WP_011793183.1, WP_010937942.1, WP_010939878.1, WP_010939503.1, WP_011793168.1, WP_010937359.1
OG0000084	WP_010943981.1	WP_011791721.1
OG0000085	WP_010940999.1, WP_010940757.1	WP_011792371.1
OG0000087	WP_010942653.1	WP_010940040.1
OG0000088	WP_010940968.1, WP_010942862.1, WP_010943817.1	WP_011792102.1
OG0000091	WP_010942248.1	WP_043629736.1
OG0000092	WP_010942735.1, WP_010941590.1	WP_011791541.1
OG0000093	WP_010941779.1	WP_010938329.1
OG0000094	WP_010943189.1	WP_011792116.1
OG0000094	WP_010941286.1	WP_011791565.1
OG0000095	WP_010942900.1	WP_011792244.1
OG0000096	WP_010941484.1, WP_010941769.1	WP_011791391.1
OG0000097	WP_010941879.1	WP_011792054.1
OG0000098	WP_010944004.1	WP_011791697.1
OG0000098	WP_010942650.1	WP_011792837.1, WP_010938015.1
OG0000100	WP_010941165.1	WP_010939709.1, WP_011791837.1
OG0000101	WP_010943782.1	WP_010939270.1
OG0000101	WP_010943090.1	WP_011792822.1
OG0000102	WP_010942739.1, WP_010941577.1, WP_010941893.1, WP_010941459.1, WP_010941507.1	WP_010940470.1
OG0000103	WP_010941607.1, WP_010942480.1	WP_010938528.1
OG0000104	WP_262421275.1	WP_010939083.1, WP_014524275.1
OG0000105	WP_010942250.1, WP_010941127.1, WP_010941128.1	WP_010938500.1
OG0000106	WP_010943341.1	WP_011792615.1
OG0000107	WP_193360258.1	WP_011791952.1
OG0000110	WP_010941804.1	WP_010938886.1
OG0000110	WP_235044926.1, WP_010942855.1, WP_010940967.1	WP_010939354.1
OG0000112	WP_010942274.1	WP_011792830.1, WP_011792050.1
OG0000113	WP_010942320.1	WP_010940378.1
OG0000114	WP_010943165.1	WP_011792216.1
OG0000115	WP_010943892.1	WP_010939125.1
OG0000116	WP_010941178.1	WP_011792225.1
OG0000116	WP_010943682.1	WP_011791823.1
OG0000117	WP_010941759.1	WP_011791822.1
OG0000118	WP_010941758.1	WP_011791821.1
OG0000119	WP_010943592.1	WP_011793090.1
OG0000120	WP_010942080.1	WP_010939361.1
OG0000121	WP_010942597.1	WP_011791564.1
OG0000122	WP_010943368.1, WP_010943370.1	WP_011792231.1
OG0000123	WP_010941806.1	WP_010938887.1
OG0000125	WP_010942746.1	WP_011791967.1, WP_011791647.1
OG0000126	WP_010943126.1	WP_010940460.1
OG0000128	WP_010941589.1, WP_010943853.1	WP_011791538.1
OG0000129	WP_010943266.1, WP_010943778.1	WP_010937945.1
OG0000130	WP_235044863.1	WP_011176619.1
OG0000131	WP_010942881.1	WP_011791342.1
OG0000132	WP_010942507.1	WP_010940606.1
OG0000132	WP_010942113.1, WP_010943057.1	WP_010939230.1
OG0000133	WP_010941757.1	WP_010938383.1
OG0000136	WP_010941670.1	WP_049758095.1
OG0000138	WP_010941764.1	WP_010940324.1
OG0000139	WP_010942637.1, WP_010942588.1	WP_011176667.1, WP_011792530.1
OG0000142	WP_010942899.1	WP_011792996.1
OG0000143	WP_010943891.1	WP_011792337.1
OG0000144	WP_010941593.1, WP_041914047.1	WP_011792804.1, WP_010938541.1
OG0000145	WP_010942949.1	WP_043629618.1
OG0000146	WP_010940761.1	WP_010937699.1
OG0000147	WP_010942428.1	WP_011792469.1
OG0000149	WP_010943517.1	WP_011791559.1
OG0000150	WP_010943710.1	WP_010939076.1
OG0000151	WP_010942629.1	WP_011787325.1
OG0000152	WP_010942382.1	WP_011792323.1
OG0000152	WP_010942374.1	WP_010940001.1
OG0000153	WP_010943806.1, WP_010941511.1	WP_010940442.1, WP_010940352.1
OG0000154	WP_010943751.1	WP_011792501.1
OG0000155	WP_010943552.1	WP_010938876.1
OG0000156	WP_010942747.1	WP_011791968.1, WP_011791646.1
OG0000159	WP_010943532.1	WP_011793043.1
OG0000160	WP_010943765.1, WP_010941051.1, WP_010940903.1	WP_010939839.1
OG0000161	WP_010942875.1	WP_011791997.1
OG0000163	WP_010940702.1, WP_010942942.1	WP_010940363.1
OG0000164	WP_010941317.1	WP_011791450.1
OG0000165	WP_010940970.1, WP_010942130.1, WP_010943009.1	WP_011787399.1, WP_010938560.1
OG0000166	WP_010943267.1	WP_011791768.1
OG0000167	WP_010943983.1	WP_010937731.1
OG0000168	WP_010942284.1, WP_010941998.1, WP_010943207.1, WP_010941202.1	WP_010937578.1, WP_010937835.1, WP_010939250.1, WP_010939253.1
OG0000169	WP_010942556.1	WP_011792420.1, WP_010937667.1
OG0000170	WP_010942052.1	WP_011792245.1
OG0000172	WP_235045029.1	WP_011791666.1
OG0000172	WP_010941991.1	WP_011791356.1
OG0000173	WP_010943577.1, WP_010941118.1	WP_010939858.1
OG0000174	WP_010944064.1	WP_011792674.1
OG0000174	WP_235044909.1	WP_010938157.1
OG0000174	WP_010940918.1	WP_011791560.1
OG0000176	WP_010940798.1	WP_011791793.1, WP_011792152.1, WP_010939204.1
OG0000179	WP_010943665.1	WP_010938734.1, WP_010939715.1, WP_010939359.1
OG0000180	WP_010941864.1	WP_011792418.1, WP_010937666.1, WP_010938677.1
OG0000181	WP_010942627.1	WP_043629990.1
OG0000183	WP_010941007.1	WP_010937739.1, WP_011791957.1
OG0000184	WP_010943067.1	WP_010940610.1
OG0000185	WP_041914029.1	WP_011791484.1
OG0000186	WP_010942944.1	WP_011792222.1
OG0000187	WP_010943488.1	WP_010940180.1
OG0000188	WP_010942212.1, WP_193360263.1	WP_011791809.1
OG0000189	WP_010941595.1, WP_010941596.1	WP_011792391.1
OG0000190	WP_010943251.1	WP_010939066.1, WP_011793101.1
OG0000191	WP_010941690.1	WP_010938461.1
OG0000192	WP_010941861.1	WP_011791950.1
OG0000196	WP_010941009.1	WP_010937737.1, WP_011791954.1
OG0000199	WP_010940692.1, WP_010943043.1	WP_011792175.1
OG0000200	WP_010940782.1	WP_010939353.1, WP_011176580.1, WP_011791341.1
OG0000201	WP_010942481.1, WP_010941167.1	WP_011792846.1
OG0000202	WP_010944059.1, WP_010943805.1, WP_010941512.1	WP_011793009.1
OG0000205	WP_275450049.1	WP_010937341.1
OG0000207	WP_010942266.1	WP_011792220.1, WP_010940291.1
OG0000208	WP_010942265.1	WP_011791552.1
OG0000209	WP_010942096.1	WP_011792598.1
OG0000210	WP_010941518.1	WP_010937439.1, WP_014524330.1
OG0000211	WP_010940834.1	WP_011791766.1, WP_011787346.1, WP_011792255.1
OG0000212	WP_010940796.1	WP_011792153.1
OG0000213	WP_010942048.1	WP_223294656.1
OG0000213	WP_010943935.1	WP_010939854.1
OG0000214	WP_010943452.1	WP_011793117.1
OG0000214	WP_010943323.1, WP_010943453.1	WP_011793116.1
OG0000215	WP_010942713.1	WP_010937992.1
OG0000216	WP_010943613.1	WP_011793129.1
OG0000217	WP_010942056.1	WP_010939133.1, WP_010939603.1, WP_223294665.1
OG0000218	WP_010941105.1	WP_010938558.1
