Orthogroup	Desulfosediminicola ganghwensis IMCC35004	Geobacter sulfurreducens PCA
OG0000000	WP_136797951.1	WP_010941477.1
OG0000000	WP_228721414.1, WP_136796704.1, WP_136798610.1, WP_136798351.1	WP_010943217.1
OG0000000	WP_136798833.1	WP_010941668.1, WP_010942297.1
OG0000000	WP_217907585.1	WP_010942684.1
OG0000000	WP_136797758.1	WP_010942141.1
OG0000000	WP_136796388.1	WP_010941261.1
OG0000000	WP_136796659.1	WP_164930426.1
OG0000000	WP_136797600.1, WP_136796723.1	WP_010942633.1
OG0000000	WP_136798339.1, WP_136796441.1	WP_010943144.1, WP_010941701.1
OG0000000	WP_136797028.1, WP_136799931.1, WP_136795637.1, WP_136796984.1	WP_010941027.1
OG0000000	WP_136796539.1	WP_010943112.1, WP_232008971.1
OG0000000	WP_176360009.1, WP_228721410.1, WP_136799495.1, WP_136798255.1	WP_010943974.1
OG0000000	WP_136798981.1	WP_010941040.1, WP_010941138.1
OG0000001	WP_136796374.1	WP_010942201.1
OG0000001	WP_136798799.1	WP_010942302.1
OG0000001	WP_136799195.1	WP_010942515.1, WP_235044972.1
OG0000001	WP_136799410.1	WP_010943962.1, WP_010943987.1, WP_010942950.1, WP_010942288.1, WP_010942315.1
OG0000001	WP_136796562.1	WP_238525143.1
OG0000002	WP_136795378.1	WP_010940689.1
OG0000002	WP_136799957.1	WP_010942147.1
OG0000002	WP_136798842.1	WP_010942002.1
OG0000002	WP_136798935.1	WP_010943582.1
OG0000002	WP_275942957.1	WP_165443456.1
OG0000002	WP_136798598.1	WP_010941464.1
OG0000004	WP_136795716.1	WP_010942299.1, WP_081461260.1, WP_235044997.1
OG0000005	WP_136797383.1, WP_167495701.1, WP_167495890.1, WP_136799321.1	WP_010941379.1
OG0000005	WP_136799362.1	WP_010943211.1, WP_010941570.1
OG0000007	WP_228721345.1	WP_010942419.1
OG0000007	WP_136796943.1	WP_010941916.1
OG0000007	WP_136796543.1	WP_010942909.1
OG0000007	WP_136795639.1	WP_010943050.1
OG0000007	WP_136795569.1	WP_010941338.1
OG0000007	WP_217907574.1, WP_136796830.1	WP_010941994.1
OG0000007	WP_136796500.1	WP_010941164.1
OG0000008	WP_136796499.1	WP_010941163.1
OG0000008	WP_167495786.1	WP_010941060.1
OG0000008	WP_136795517.1	WP_010943408.1
OG0000008	WP_136796821.1	WP_010943303.1
OG0000008	WP_228721405.1	WP_010943335.1
OG0000009	WP_136799743.1, WP_136796828.1	WP_010943210.1
OG0000009	WP_167495941.1	WP_010943260.1, WP_010942584.1
OG0000009	WP_228721437.1	WP_010942298.1
OG0000010	WP_136799911.1	WP_010942620.1
OG0000010	WP_136795772.1	WP_010942601.1
OG0000011	WP_136799658.1	WP_010942699.1
OG0000012	WP_228721473.1	WP_010941669.1
OG0000012	WP_136796722.1	WP_010941439.1, WP_010941262.1, WP_010941254.1, WP_144011898.1, WP_010941041.1, WP_010941630.1
OG0000013	WP_228721392.1, WP_136799928.1, WP_136797029.1, WP_136799932.1, WP_136797031.1	WP_010941970.1, WP_010941778.1
OG0000014	WP_136795319.1, WP_167495771.1	WP_010943740.1
OG0000014	WP_136795451.1	WP_010941119.1, WP_010943578.1
OG0000015	WP_136798539.1	WP_010943443.1
OG0000015	WP_228721502.1	WP_010943159.1
OG0000015	WP_136798430.1	WP_010940939.1, WP_010943414.1
OG0000015	WP_136796070.1	WP_010941995.1
OG0000016	WP_167495730.1, WP_136797847.1, WP_136796187.1	WP_010941569.1
OG0000016	WP_136799792.1	WP_010941781.1
OG0000016	WP_136799049.1, WP_136797826.1, WP_136795956.1, WP_167495613.1	WP_010942859.1, WP_010942689.1
OG0000017	WP_136796602.1, WP_167495642.1, WP_136796609.1	WP_010942680.1
OG0000017	WP_275942934.1	WP_049786599.1
OG0000018	WP_136799912.1	WP_010942606.1
OG0000018	WP_136799915.1	WP_010942605.1
OG0000018	WP_167495927.1	WP_010944069.1
OG0000019	WP_136796978.1	WP_010941763.1
OG0000019	WP_136795318.1, WP_136797551.1	WP_010943739.1
OG0000020	WP_136795588.1, WP_267314022.1, WP_228721480.1	WP_010943745.1
OG0000021	WP_136797283.1, WP_136799171.1	WP_010943262.1
OG0000021	WP_136797285.1, WP_136796275.1	WP_010943261.1
OG0000022	WP_136799291.1, WP_136799316.1, WP_136795736.1, WP_136798856.1, WP_136795837.1, WP_136798804.1, WP_136796834.1	WP_010942550.1, WP_010941573.1, WP_010941244.1, WP_010940866.1, WP_010940882.1
OG0000023	WP_136798831.1	WP_010943046.1
OG0000023	WP_073616346.1	WP_010941206.1
OG0000023	WP_136796827.1	WP_045667546.1
OG0000024	WP_136797387.1	WP_010940864.1
OG0000024	WP_136798855.1	WP_010941582.1
OG0000026	WP_136799106.1	WP_010942793.1
OG0000026	WP_136795158.1, WP_136796894.1	WP_010943263.1, WP_010941067.1
OG0000027	WP_136795589.1, WP_136796842.1	WP_010941441.1
OG0000027	WP_136797362.1	WP_010941177.1
OG0000028	WP_136798974.1, WP_136799046.1, WP_136798422.1, WP_136799929.1, WP_136797026.1	WP_010941609.1
OG0000029	WP_136797424.1	WP_010941066.1
OG0000030	WP_136797137.1, WP_228721452.1	WP_010943289.1
OG0000032	WP_136797248.1	WP_010943846.1
OG0000033	WP_167495906.1	WP_010943225.1
OG0000033	WP_136795667.1, WP_136796864.1	WP_010943085.1
OG0000033	WP_228721439.1	WP_010941969.1
OG0000034	WP_136795518.1	WP_010943409.1
OG0000034	WP_136795709.1	WP_010943334.1
OG0000035	WP_136796974.1	WP_010942933.1, WP_010940966.1, WP_010943642.1, WP_010943212.1, WP_010941571.1, WP_010942704.1
OG0000038	WP_136796619.1	WP_010940700.1
OG0000038	WP_136795232.1, WP_136797873.1	WP_010943808.1
OG0000038	WP_136797874.1	WP_010941445.1, WP_010941452.1
OG0000040	WP_136799761.1	WP_010942495.1
OG0000041	WP_136795710.1	WP_153304094.1
OG0000042	WP_217907590.1	WP_010943811.1
OG0000042	WP_136795372.1, WP_136799831.1	WP_010941591.1
OG0000042	WP_275942936.1	WP_010942434.1
OG0000043	WP_136799174.1, WP_136799625.1	WP_010942192.1
OG0000045	WP_136797441.1	WP_010942953.1
OG0000045	WP_167495904.1, WP_267314012.1	WP_010942368.1
OG0000045	WP_136797412.1	WP_010942204.1
OG0000046	WP_136797836.1	WP_010941543.1
OG0000047	WP_167495646.1	WP_010942630.1
OG0000048	WP_136798807.1, WP_136797116.1	WP_010942268.1
OG0000048	WP_136795343.1	WP_010943908.1
OG0000049	WP_136798429.1, WP_136798433.1, WP_136795482.1	WP_010941476.1, WP_010941028.1
OG0000050	WP_217907720.1	WP_010940875.1
OG0000051	WP_136799052.1, WP_136798861.1, WP_228721506.1, WP_176360047.1, WP_153305574.1, WP_267313990.1	WP_010940766.1
OG0000053	WP_136797779.1	WP_010941160.1
OG0000053	WP_136795598.1	WP_010942464.1
OG0000055	WP_136796674.1	WP_010942902.1
OG0000057	WP_136798992.1, WP_167495705.1, WP_136795513.1, WP_136798386.1, WP_136799419.1	WP_010943773.1
OG0000058	WP_136796804.1	WP_010942454.1
OG0000058	WP_136799492.1	WP_010941840.1
OG0000060	WP_136799403.1, WP_136796475.1	WP_041913993.1
OG0000060	WP_228721336.1	WP_010942427.1
OG0000061	WP_136797118.1, WP_136798806.1	WP_010942269.1
OG0000061	WP_136798172.1	WP_010943909.1
OG0000062	WP_228721376.1, WP_136799342.1, WP_136797288.1, WP_136797558.1, WP_167495790.1, WP_136799168.1, WP_136796276.1	WP_010942081.1
OG0000063	WP_136798008.1	WP_010942168.1, WP_010942767.1
OG0000064	WP_136796630.1	WP_010941276.1
OG0000064	WP_136796784.1	WP_010943894.1
OG0000065	WP_136799671.1	WP_010942732.1
OG0000066	WP_136795403.1	WP_010942270.1
OG0000067	WP_217907707.1, WP_136797988.1, WP_217907645.1, WP_136797286.1, WP_136797906.1, WP_136799169.1, WP_136797560.1	WP_010942082.1
OG0000069	WP_228721441.1	WP_010943903.1
OG0000070	WP_136799869.1	WP_235045000.1
OG0000072	WP_136796882.1	WP_010944003.1
OG0000074	WP_136800028.1	WP_010943161.1
OG0000074	WP_136795215.1, WP_136796902.1, WP_136795663.1, WP_136799329.1, WP_136799177.1	WP_010940892.1
OG0000075	WP_136796898.1	WP_010941466.1
OG0000077	WP_136799204.1	WP_010942316.1
OG0000077	WP_136797723.1	WP_010941855.1
OG0000079	WP_136798159.1, WP_136798710.1	WP_010942999.1
OG0000081	WP_136797478.1	WP_010940930.1, WP_010943560.1, WP_010943273.1, WP_010941703.1, WP_010941070.1
OG0000084	WP_136798213.1, WP_136798627.1, WP_136798215.1, WP_136799479.1, WP_136798998.1, WP_167495810.1	WP_010943981.1
OG0000085	WP_136796087.1	WP_010940999.1, WP_010940757.1
OG0000087	WP_136796508.1, WP_136798368.1	WP_010942653.1
OG0000089	WP_136797612.1	WP_010943038.1, WP_010942202.1, WP_010941951.1
OG0000091	WP_136795688.1	WP_010941129.1
OG0000091	WP_136797254.1	WP_010942248.1
OG0000092	WP_136796869.1	WP_010940844.1
OG0000092	WP_136796868.1	WP_010941590.1
OG0000093	WP_136798682.1, WP_136800036.1, WP_136799485.1, WP_136796228.1, WP_136797915.1, WP_167495929.1, WP_136798528.1	WP_010941779.1
OG0000094	WP_136798304.1	WP_010941286.1
OG0000095	WP_136795641.1	WP_010940777.1
OG0000095	WP_136799860.1	WP_010942900.1
OG0000096	WP_136798770.1, WP_136797186.1	WP_010941484.1, WP_010941769.1
OG0000097	WP_228721358.1, WP_136798365.1	WP_010941879.1
OG0000098	WP_136796883.1	WP_010942377.1
OG0000098	WP_136799263.1	WP_010942650.1
OG0000101	WP_136796133.1, WP_275942959.1	WP_010943782.1, WP_010943090.1
OG0000102	WP_136799374.1	WP_010941459.1
