Orthogroup	Desulfosediminicola flagellatus IMCC35005	Desulfocapsa_13_biocide
OG0000000	WP_136805244.1	Utg858432_110
OG0000000	WP_136809874.1, WP_136808305.1	Utg860814_23
OG0000000	WP_136806168.1	Utg859236_95
OG0000000	WP_136807632.1	Utg857152_211
OG0000000	WP_136808413.1	Utg860006_151
OG0000000	WP_136805435.1	Utg857994_144
OG0000000	WP_136809847.1	Utg859236_100
OG0000000	WP_136808161.1	Utg859098_309
OG0000000	WP_136808356.1	Utg863716_60, Utg857046_66
OG0000000	WP_136809937.1	Utg864866_108
OG0000000	WP_136808232.1	Utg864866_50
OG0000000	WP_217909566.1	Utg858432_5
OG0000000	WP_136806271.1	Utg860006_129
OG0000000	WP_136807046.1	Utg859098_130
OG0000000	WP_136810243.1	Utg866558_41, Utg859098_137
OG0000000	WP_136809765.1	Utg859098_426
OG0000000	WP_136810094.1, WP_136807718.1, WP_136805463.1	Utg859750_35
OG0000000	WP_217909594.1, WP_167505720.1	Utg857046_247
OG0000000	WP_136809225.1	Utg859982_65
OG0000000	WP_136808658.1	Utg860006_29
OG0000001	WP_136806607.1, WP_167505925.1	Utg863716_50
OG0000001	WP_136808786.1	Utg863716_105
OG0000001	WP_136805177.1	Utg861448_49
OG0000001	WP_136807476.1	Utg857152_206
OG0000001	WP_136809287.1	Utg857300_46
OG0000001	WP_136809201.1, WP_136809645.1	Utg859236_118, Utg859432_61
OG0000001	WP_136807061.1	Utg857300_26
OG0000002	WP_136805222.1	Utg862138_35
OG0000002	WP_136808433.1	Utg860006_9
OG0000002	WP_136807752.1	Utg859076_23
OG0000002	WP_136805570.1	Utg862138_47
OG0000002	WP_136808067.1	Utg857994_111
OG0000003	WP_136806109.1	Utg859236_111
OG0000003	WP_136810764.1	Utg861744_3
OG0000004	WP_136810858.1, WP_136808193.1	Utg859236_110
OG0000004	WP_136810396.1	Utg859098_372
OG0000004	WP_136805692.1	Utg857152_136, Utg857682_26
OG0000004	WP_176371583.1, WP_136806049.1, WP_136810154.1, WP_267313779.1, WP_136805478.1, WP_167505723.1	Utg860814_35, Utg860814_38
OG0000004	WP_136808745.1	Utg858494_71, Utg857994_41
OG0000004	WP_167505718.1	Utg858432_88
OG0000004	WP_136808192.1	Utg860814_202, Utg859236_73
