Orthogroup	Desulforhopalus vacuolatus DSM 9700	Other
OG0000077	WP_205219018.1	WP_011073434.1
OG0000077	WP_205219018.1	WP_126379711.1
OG0000077	WP_205219018.1	WP_010942316.1
OG0000077	WP_205219018.1	WP_010938705.1
OG0000148	WP_205218212.1	WP_136805685.1
OG0000148	WP_205219628.1	WP_136806118.1
OG0000238	WP_205219359.1, WP_205217607.1	Utg857682_139
