Orthogroup	Desulfocapsa_13_biocide	Desulforhopalus vacuolatus DSM 9700
OG0000000	Utg858432_110	WP_205218903.1
OG0000000	Utg860814_23	WP_275888964.1
OG0000000	Utg857152_211	WP_205218029.1
OG0000000	Utg860006_151	WP_205220319.1
OG0000000	Utg857994_144	WP_205219819.1
OG0000000	Utg859098_309	WP_205219336.1, WP_205220180.1
OG0000000	Utg858432_5	WP_275888939.1
OG0000000	Utg860006_129	WP_205218170.1
OG0000000	Utg859098_426	WP_240192009.1
OG0000000	Utg859982_65	WP_205220096.1
OG0000000	Utg861744_76	WP_205217973.1
OG0000001	Utg863716_50	WP_205220029.1, WP_205218534.1, WP_205218203.1
OG0000001	Utg863716_105	WP_205220038.1
OG0000001	Utg861448_49	WP_205220390.1
OG0000001	Utg860814_100, Utg857152_206, Utg857300_46	WP_205217623.1
OG0000001	Utg859432_61	WP_205219701.1
OG0000001	Utg857994_39	WP_205217330.1
OG0000002	Utg862138_35	WP_205218052.1, WP_205220147.1
OG0000002	Utg862138_47	WP_205219874.1
OG0000002	Utg857994_111	WP_205220297.1
OG0000002	Utg857152_238	WP_205217849.1
OG0000004	Utg860814_35, Utg860814_38	WP_240192101.1, WP_205218090.1, WP_205220090.1, WP_205217587.1, WP_205217538.1, WP_240192123.1, WP_205219499.1
OG0000004	Utg857994_41	WP_205217688.1
OG0000005	Utg864866_21, Utg864866_22	WP_205217585.1
OG0000005	Utg863716_116, Utg857076_41, Utg857994_89, Utg859388_141, Utg863716_9	WP_240192106.1
OG0000006	Utg858494_72, Utg863716_8	WP_205218839.1
OG0000006	Utg859388_140	WP_205219511.1
OG0000007	Utg858432_132	WP_240192033.1
OG0000007	Utg862138_39	WP_205217665.1
OG0000007	Utg857076_16	WP_205219899.1
OG0000008	Utg861744_12, Utg857076_45	WP_205219114.1
OG0000008	Utg859098_370	WP_205218627.1
OG0000009	Utg860814_183	WP_240192111.1
OG0000009	Utg864866_20	WP_205217584.1
OG0000010	Utg857046_180, Utg857046_174, Utg859236_8	WP_205219586.1
OG0000011	Utg860814_134	WP_205219955.1
OG0000011	Utg857046_16	WP_240191925.1
OG0000011	Utg859982_61	WP_205220094.1
OG0000011	Utg857682_167	WP_205217300.1
OG0000012	Utg859388_126	WP_205218963.1
OG0000012	Utg858432_54	WP_205217637.1
OG0000013	Utg860814_26	WP_240191996.1
OG0000013	Utg860814_31	WP_205218303.1
OG0000014	Utg859076_41, Utg857994_28	WP_205219172.1
OG0000014	Utg857682_136	WP_205218288.1
OG0000014	Utg861744_121, Utg861744_120	WP_205219411.1
OG0000015	Utg859388_25, Utg862138_18	WP_205217767.1
OG0000015	Utg864866_65	WP_205218648.1
OG0000017	Utg860006_13, Utg860006_18	WP_205220326.1
OG0000018	Utg859098_213	WP_205218117.1
OG0000018	Utg860006_167	WP_205219840.1
OG0000019	Utg864866_31	WP_205217874.1
OG0000019	Utg857682_135	WP_205218289.1
OG0000020	Utg859098_133, Utg866558_48, Utg859098_147	WP_205217884.1
OG0000022	Utg859236_119	WP_205218149.1
