Orthogroup	Desulfocapsa sulfexigens DSM 10523	Desulfocapsa_13_biocide
OG0000000	WP_015405628.1	Utg858432_110
OG0000000	WP_015404870.1, WP_015402904.1	Utg857152_211
OG0000000	WP_015404602.1	Utg860006_151
OG0000000	WP_015404730.1	Utg857994_144
OG0000000	WP_015404836.1	Utg859236_100
OG0000000	WP_015403526.1	Utg864866_50
OG0000000	WP_015405714.1	Utg858432_5
OG0000000	WP_015404574.1	Utg860006_129
OG0000000	WP_015405012.1	Utg859098_179
OG0000000	WP_015405247.1	Utg859098_130
OG0000000	WP_015404443.1	Utg866558_41
OG0000000	WP_015405235.1	Utg859098_137
OG0000000	WP_228130058.1	Utg859750_35
OG0000000	WP_015402874.1	Utg857076_7
OG0000000	WP_015404515.1	Utg860006_29
OG0000001	WP_015402638.1	Utg863716_50
OG0000001	WP_015402457.1, WP_015402486.1	Utg863716_105
OG0000001	WP_015403644.1	Utg861448_49
OG0000001	WP_015402385.1	Utg860814_100
OG0000001	WP_167320702.1	Utg857152_206
OG0000002	WP_015403812.1, WP_015404031.1	Utg857046_190
OG0000002	WP_015403655.1	Utg862138_35
OG0000002	WP_153304957.1	Utg861744_15
OG0000003	WP_015403648.1	Utg859098_375
OG0000004	WP_015402639.1	Utg859236_110
OG0000004	WP_015404335.1	Utg859098_372
OG0000004	WP_015403270.1	Utg857682_27, Utg861744_9, Utg860814_122
OG0000004	WP_015405428.1	Utg857152_136, Utg857682_26
OG0000004	WP_015405656.1	Utg858432_88
OG0000004	WP_015402421.1, WP_052326944.1	Utg860814_202
OG0000004	WP_015403175.1, WP_015402868.1	Utg859236_73
OG0000004	WP_015402970.1	Utg857994_124, Utg859982_119
OG0000005	WP_015404965.1	Utg859982_207
OG0000005	WP_015405658.1	Utg858432_84
OG0000005	WP_015404343.1	Utg857076_41
OG0000005	WP_015403003.1	Utg859388_141
OG0000005	WP_015402641.1	Utg857152_2, Utg859388_48
OG0000006	WP_015403002.1	Utg859388_140
OG0000006	WP_015403820.1	Utg863716_120
OG0000006	WP_015404882.1	Utg858494_73
OG0000007	WP_015405611.1	Utg858432_132
OG0000007	WP_015405734.1	Utg862138_39
OG0000007	WP_015402821.1	Utg859432_67
OG0000007	WP_015403101.1	Utg857152_200
OG0000008	WP_015403337.1	Utg861744_12
OG0000008	WP_015403510.1	Utg857152_123
OG0000008	WP_015404768.1	Utg859388_41
OG0000009	WP_015405657.1	Utg860814_183, Utg858432_86
OG0000009	WP_015405427.1	Utg860814_199, Utg860814_198
OG0000010	WP_015404239.1	Utg857046_180
OG0000011	WP_015403675.1	Utg860814_134
OG0000012	WP_015405394.1	Utg859388_126
OG0000012	WP_015403532.1	Utg864866_48
OG0000012	WP_228130022.1	Utg858432_54
OG0000012	WP_015403471.1	Utg857046_150
