Orthogroup	Desulfovibrio ferrophilus IS5	Desulfocapsa_06_corrosive
OG0000000	WP_126376458.1	Utg323632_218
OG0000000	WP_126379949.1	Utg323262_151
OG0000000	WP_126379473.1, WP_126380421.1	Utg323990_84
OG0000000	WP_126375654.1	Utg323152_233
OG0000000	WP_172961679.1	Utg323152_286, Utg323632_278, Utg323152_278
OG0000000	WP_126377754.1	Utg323140_222
OG0000000	WP_126380558.1	Utg323392_13
OG0000000	WP_172961667.1	Utg323180_69
OG0000000	WP_126377909.1	Utg323262_120
OG0000000	WP_126377956.1	Utg323152_412
OG0000001	WP_126376510.1, WP_172961810.1	Utg323180_225
OG0000001	WP_126375555.1	Utg323180_287
OG0000001	WP_126377423.1	Utg323180_510
OG0000001	WP_126375573.1	Utg323180_136
OG0000001	WP_172961793.1, WP_126380918.1, WP_126377950.1	Utg324810_63
OG0000001	WP_126379817.1	Utg325220_101
OG0000001	WP_126380957.1	Utg323316_129
OG0000001	WP_197723432.1	Utg323180_183
OG0000002	WP_126375861.1	Utg323160_86
OG0000003	WP_126379081.1	Utg323632_206
OG0000004	WP_126379990.1	Utg323316_191, Utg323152_14
OG0000005	WP_126379727.1, WP_172961688.1	Utg323300_198
OG0000005	WP_172961730.1	Utg323140_36, Utg323632_133, Utg323262_94, Utg323392_93, Utg323300_274, Utg323392_174, Utg323316_116
OG0000006	WP_126375661.1	Utg323262_137
OG0000006	WP_126375547.1, WP_126375895.1, WP_126377248.1	Utg323180_218, Utg323180_148
OG0000007	WP_126381476.1	Utg323632_239
OG0000007	WP_126375925.1	Utg323632_51
OG0000007	WP_126381411.1	Utg323152_106
OG0000007	WP_126375605.1, WP_126379380.1	Utg323180_130
OG0000008	WP_126379377.1	Utg323632_80
OG0000008	WP_126380866.1	Utg323160_91, Utg323262_89
OG0000008	WP_126376430.1	Utg323300_399
OG0000009	WP_126376614.1	Utg323140_138, Utg323392_3
OG0000009	WP_126381017.1	Utg323180_612
OG0000009	WP_197723449.1	Utg323180_288
OG0000010	WP_126380086.1	Utg323316_272, Utg323316_267
OG0000010	WP_126377453.1, WP_172961742.1	Utg323316_270
OG0000010	WP_126375855.1	Utg323074_203
OG0000012	WP_126379475.1	Utg323140_106
OG0000012	WP_232034787.1	Utg323632_113
OG0000013	WP_126376628.1	Utg323180_152, Utg323140_78
OG0000013	WP_232034900.1	Utg323180_446
OG0000013	WP_126378023.1	Utg323180_450
OG0000013	WP_126376569.1, WP_126379729.1	Utg323140_219
OG0000013	WP_126376573.1	Utg323140_226
OG0000014	WP_126377105.1, WP_126380551.1	Utg323392_110
OG0000015	WP_126376089.1	Utg323140_90
OG0000015	WP_126377238.1	Utg325220_80
OG0000016	WP_126378703.1	Utg323300_407, Utg323300_334
OG0000019	WP_126380934.1	Utg323140_131
OG0000020	WP_126375608.1	Utg323266_116, Utg323152_283, Utg323632_271, Utg323152_268
OG0000020	WP_126375676.1	Utg323180_155
OG0000023	WP_126379216.1	Utg323180_595
OG0000024	WP_126375630.1	Utg323180_286
OG0000024	WP_126381489.1	Utg323074_45
OG0000024	WP_126380860.1	Utg323152_134
OG0000026	WP_126380892.1	Utg323632_118
OG0000026	WP_126379565.1	Utg323300_169
OG0000027	WP_126376537.1, WP_126377878.1	Utg323180_189, Utg323300_117, Utg323300_118
OG0000028	WP_126381116.1	Utg323990_173, Utg323140_52
OG0000028	WP_126376567.1	Utg323140_220
OG0000028	WP_126378035.1, WP_126379735.1, WP_126378025.1	Utg323180_452
OG0000029	WP_126377624.1	Utg323300_179
OG0000030	WP_126375863.1	Utg323160_85
OG0000030	WP_232034763.1	Utg323160_112
OG0000031	WP_126379174.1	Utg323448_44
OG0000031	WP_126376771.1	Utg323262_74
OG0000031	WP_126380000.1	Utg323180_78, Utg323392_77, Utg323262_179
OG0000033	WP_126380666.1	Utg323140_147, Utg323140_146
OG0000035	WP_232034774.1, WP_126381133.1, WP_172961635.1, WP_126376101.1	Utg323300_305, Utg323300_236
OG0000038	WP_232034908.1	Utg323990_153
OG0000038	WP_126376738.1	Utg323180_685
OG0000039	WP_126379639.1	Utg323316_349
OG0000040	WP_172961731.1	Utg323990_200
OG0000041	WP_172961587.1	Utg323316_196
OG0000042	WP_126379529.1	Utg323180_126
OG0000042	WP_126377521.1	Utg323152_383
OG0000043	WP_126380768.1	Utg323262_134
OG0000043	WP_126380936.1	Utg323140_196
OG0000045	WP_232034928.1	Utg324810_80, Utg323990_79
OG0000045	WP_126379890.1	Utg323300_218
OG0000046	WP_126380043.1, WP_126379445.1	Utg324810_8
OG0000046	WP_126375663.1	Utg323180_156
OG0000047	WP_172961739.1	Utg323990_19
OG0000047	WP_172961741.1	Utg323316_238
OG0000048	WP_126381030.1	Utg323266_109
OG0000048	WP_126379303.1	Utg323316_142
OG0000049	WP_172961615.1	Utg323300_370
OG0000051	WP_126376773.1	Utg323262_75
