Orthogroup	Desulfosediminicola flagellatus IMCC35005	Other
OG0000033	WP_217909439.1	WP_011792395.1
OG0000033	WP_217909439.1	WP_232034906.1
OG0000033	WP_217909439.1	WP_041277486.1
OG0000033	WP_217909439.1	WP_010943225.1
OG0000049	WP_136809400.1	Utg323180_54
OG0000148	WP_136805685.1, WP_136806118.1	WP_126375591.1
OG0000148	WP_136805685.1	WP_011074172.1
OG0000148	WP_136805685.1	WP_205218212.1
OG0000148	WP_136806118.1	WP_176360048.1
OG0000148	WP_136806118.1	WP_011190200.1
OG0000148	WP_136806118.1	WP_205219628.1
OG0000238	WP_228723299.1	Utg857682_139
