Orthogroup	Desulfosediminicola ganghwensis IMCC35004	Shewanella oneidensis MR-1
OG0000000	WP_228721414.1, WP_136796704.1	WP_011073030.1
OG0000000	WP_136798610.1, WP_136798351.1	WP_011074304.1
OG0000000	WP_136796659.1	WP_011074101.1
OG0000000	WP_176360009.1, WP_228721410.1	WP_011072957.1
OG0000000	WP_136799495.1	WP_011073458.1
OG0000001	WP_136796374.1	WP_011074067.1, WP_011073330.1
OG0000001	WP_136798931.1	WP_011071093.1
OG0000001	WP_136799410.1	WP_011072190.1
OG0000001	WP_136796562.1	WP_011073536.1, WP_011072697.1
OG0000001	WP_136798261.1	WP_011071311.1
OG0000002	WP_136799957.1	WP_011071977.1, WP_011070837.1
OG0000002	WP_136796812.1, WP_136796360.1, WP_136796249.1	WP_011071490.1
OG0000002	WP_136798842.1	WP_011073420.1, WP_011074249.1
OG0000002	WP_136795903.1, WP_136798151.1	WP_011071049.1
OG0000002	WP_136798474.1, WP_275942957.1, WP_136796313.1, WP_275942949.1, WP_167495633.1, WP_136799606.1, WP_136799805.1	WP_011071300.1
OG0000004	WP_136796385.1, WP_136798650.1, WP_167495700.1, WP_167495840.1, WP_136798338.1, WP_136795716.1, WP_136796342.1	WP_011073049.1, WP_011073640.1
OG0000005	WP_136797798.1	WP_011072501.1
OG0000005	WP_136799362.1	WP_011073304.1, WP_011074077.1, WP_011071149.1, WP_164925775.1
OG0000006	WP_136797886.1	WP_011072463.1, WP_011072496.1, WP_011073589.1, WP_011073842.1, WP_238560533.1
OG0000007	WP_228721345.1	WP_011074183.1
OG0000007	WP_136796543.1	WP_164925702.1
OG0000007	WP_136795639.1	WP_011072831.1
OG0000007	WP_136796500.1	WP_011073487.1
OG0000008	WP_136796499.1	WP_011071114.1
OG0000008	WP_167495786.1	WP_011072998.1
OG0000008	WP_136795517.1	WP_011073326.1, WP_011071990.1
OG0000008	WP_136796821.1	WP_011072024.1
OG0000008	WP_136798618.1	WP_011073334.1
OG0000008	WP_228721405.1	WP_011074282.1
OG0000009	WP_136799743.1	WP_011071150.1, WP_011073726.1
OG0000009	WP_136796828.1	WP_164925773.1
OG0000011	WP_136796707.1, WP_228721445.1, WP_136796520.1, WP_136796063.1, WP_136799658.1, WP_136797104.1, WP_136798870.1, WP_167495681.1, WP_136798851.1, WP_136799937.1, WP_136799478.1, WP_136799535.1, WP_136795298.1, WP_136796266.1, WP_136799595.1, WP_136798603.1, WP_136798211.1, WP_217907688.1	WP_011073029.1
OG0000012	WP_228721473.1	WP_011074100.1
OG0000012	WP_136796722.1	WP_011074303.1
OG0000014	WP_176360024.1	WP_011074106.1
OG0000014	WP_136795895.1	WP_011073413.1
OG0000014	WP_136795451.1	WP_011074069.1
OG0000015	WP_136798539.1	WP_011072514.1
OG0000015	WP_136798430.1	WP_011072017.1
OG0000015	WP_136796070.1	WP_011073837.1
OG0000016	WP_167495730.1, WP_136797847.1, WP_136796187.1, WP_136799792.1, WP_136799049.1, WP_136797826.1, WP_136795956.1, WP_167495613.1	WP_011072497.1
OG0000017	WP_136796602.1, WP_167495642.1, WP_136796609.1	WP_011071143.1
OG0000017	WP_275942934.1	WP_011070777.1, WP_011071144.1, WP_011073357.1
OG0000018	WP_136799912.1, WP_136795787.1, WP_136799915.1, WP_136798307.1, WP_167495927.1, WP_136799759.1	WP_011073068.1
OG0000019	WP_136796978.1	WP_011071727.1
OG0000019	WP_228721469.1	WP_011074105.1
OG0000020	WP_136797088.1	WP_011073773.1
OG0000020	WP_136796993.1	WP_011070833.1
OG0000020	WP_136797524.1, WP_136797303.1	WP_011071632.1, WP_011074012.1
OG0000020	WP_136795588.1, WP_267314022.1, WP_228721480.1	WP_011074129.1, WP_011074133.1
OG0000021	WP_136797283.1, WP_136799171.1, WP_136796274.1, WP_136799340.1, WP_136797904.1	WP_011071922.1
OG0000021	WP_136799193.1, WP_136797562.1, WP_136797285.1, WP_136796275.1, WP_136799341.1, WP_136799170.1, WP_136797905.1	WP_011071923.1
