Orthogroup	Desulfosediminicola ganghwensis IMCC35004	Desulfotalea psychrophila LSv54
OG0000000	WP_136797951.1	WP_011190064.1
OG0000000	WP_136797758.1	WP_011189962.1
OG0000000	WP_136795330.1	WP_156792258.1
OG0000000	WP_136797600.1, WP_136796723.1	WP_011188283.1
OG0000000	WP_275942930.1	WP_041277753.1
OG0000000	WP_136795862.1	WP_041278710.1
OG0000000	WP_136795637.1, WP_136796984.1	WP_011187582.1
OG0000000	WP_136796539.1	WP_011188526.1
OG0000000	WP_167495805.1, WP_136799754.1, WP_136799532.1, WP_136796349.1, WP_136796152.1	WP_049785130.1, WP_011187784.1
OG0000001	WP_136796374.1	WP_011188793.1, WP_011187475.1
OG0000001	WP_136798931.1	WP_011189956.1
OG0000001	WP_136799410.1	WP_011187505.1
OG0000001	WP_136796562.1	WP_011187493.1
OG0000002	WP_136798151.1	WP_041277737.1
OG0000002	WP_136798935.1	WP_011188604.1
OG0000002	WP_275942957.1	WP_011188232.1
OG0000002	WP_136796313.1	WP_011188476.1
OG0000002	WP_275942949.1, WP_167495633.1	WP_011188678.1
OG0000002	WP_136796899.1	WP_041277652.1
OG0000004	WP_136798650.1	WP_011188268.1
OG0000004	WP_167495700.1	WP_011189167.1, WP_011189166.1, WP_011189165.1
OG0000004	WP_167495840.1	WP_162096666.1
OG0000005	WP_136796309.1, WP_136797383.1, WP_167495701.1, WP_167495890.1, WP_136799321.1, WP_136797798.1	WP_011189533.1, WP_011188126.1
OG0000005	WP_167495679.1	WP_011187985.1
OG0000005	WP_136797789.1	WP_011187604.1
OG0000007	WP_228721345.1	WP_011189794.1
OG0000007	WP_136796543.1	WP_011188868.1
OG0000007	WP_136795569.1	WP_011188995.1
OG0000007	WP_136796830.1	WP_011187745.1
OG0000008	WP_136795517.1	WP_049785079.1
OG0000008	WP_228721405.1	WP_049785046.1
OG0000009	WP_136799743.1	WP_011188127.1
OG0000009	WP_136796828.1	WP_049785091.1
OG0000009	WP_167495941.1	WP_156792224.1
OG0000009	WP_228721437.1	WP_011189354.1
OG0000011	WP_136796063.1	WP_011187691.1
OG0000011	WP_136797104.1	WP_011188598.1
OG0000011	WP_167495681.1	WP_011190294.1
OG0000011	WP_136798851.1	WP_041277567.1
OG0000011	WP_136799478.1	WP_011188753.1
OG0000012	WP_136799858.1	WP_041278033.1
OG0000012	WP_228721381.1	WP_156792326.1
OG0000012	WP_136796722.1	WP_011188284.1
OG0000013	WP_136799928.1	WP_011188729.1
OG0000013	WP_136797029.1, WP_136799932.1, WP_136797031.1	WP_011188732.1
OG0000014	WP_136795451.1	WP_083818925.1
OG0000015	WP_136798539.1	WP_041277718.1
OG0000015	WP_228721502.1	WP_228130190.1
OG0000015	WP_136798430.1	WP_011187538.1
OG0000016	WP_167495613.1	WP_049785056.1
OG0000017	WP_136796602.1	WP_011188709.1
OG0000017	WP_167495642.1, WP_136796609.1	WP_011188698.1
OG0000018	WP_136795787.1	WP_011189821.1
OG0000018	WP_167495927.1	WP_011187258.1
OG0000019	WP_136796978.1	WP_011189126.1
OG0000020	WP_136795588.1, WP_267314022.1	WP_011189009.1
OG0000020	WP_228721480.1	WP_011190228.1
OG0000021	WP_136799193.1, WP_136797562.1	WP_011188449.1
OG0000021	WP_136797285.1, WP_136796275.1	WP_011187395.1
OG0000021	WP_136799341.1, WP_136799170.1	WP_011188419.1
OG0000022	WP_136795736.1	WP_011189113.1, WP_011188176.1, WP_011188178.1, WP_011187607.1
OG0000022	WP_136798856.1	WP_011188203.1
OG0000022	WP_136795837.1	WP_011189441.1
OG0000023	WP_073616346.1	WP_041277852.1
OG0000024	WP_136796326.1	WP_011188931.1
OG0000024	WP_136797387.1	WP_011189217.1
OG0000024	WP_136796891.1	WP_011188654.1, WP_011188179.1
OG0000025	WP_136796934.1, WP_136796878.1, WP_136797803.1, WP_136796860.1	WP_162096631.1
OG0000026	WP_136795158.1	WP_041278328.1
OG0000026	WP_136796894.1	WP_041277628.1
OG0000027	WP_136795589.1	WP_011189010.1
OG0000027	WP_136796842.1	WP_011190227.1
OG0000027	WP_136797362.1	WP_011187927.1, WP_011187726.1
OG0000028	WP_136798974.1	WP_041277631.1
OG0000028	WP_136799929.1, WP_136797026.1	WP_162096634.1
OG0000029	WP_136796505.1	WP_011189114.1
OG0000029	WP_136797658.1	WP_265588603.1
OG0000030	WP_136797137.1	WP_011188233.1
OG0000030	WP_228721452.1	WP_011187333.1
OG0000030	WP_228721479.1	WP_041277653.1
OG0000031	WP_136798099.1	WP_041277675.1
OG0000031	WP_153305575.1	WP_011188253.1
OG0000032	WP_136795593.1	WP_011189014.1
OG0000033	WP_167495906.1	WP_041277486.1
OG0000033	WP_228721439.1	WP_011187749.1
OG0000034	WP_136795518.1	WP_011189363.1
OG0000034	WP_136795709.1	WP_011188938.1
OG0000035	WP_136796974.1	WP_011187249.1
OG0000036	WP_136796149.1	WP_011190296.1, WP_083819006.1
OG0000036	WP_136799476.1	WP_011188751.1
OG0000036	WP_136799939.1, WP_136796285.1, WP_136798849.1	WP_011187842.1
OG0000036	WP_217907680.1, WP_136799593.1	WP_011188430.1
OG0000038	WP_136796619.1	WP_083818947.1
OG0000038	WP_136795232.1, WP_136797873.1	WP_011189861.1
OG0000038	WP_136797874.1	WP_011189862.1
OG0000039	WP_136795328.1	WP_011188738.1
OG0000040	WP_136799761.1	WP_011187264.1, WP_041277819.1
OG0000040	WP_136799866.1	WP_011187281.1
OG0000041	WP_136795710.1	WP_011188937.1
OG0000041	WP_136798488.1	WP_011189362.1
OG0000041	WP_167495619.1	WP_011190076.1
