	Acidithiobacillus ferrooxidans YNTRS-40	Desulfocapsa sulfexigens DSM 10523	Desulfocapsa_06_corrosive	Desulfocapsa_13_biocide	Desulforhopalus vacuolatus DSM 9700	Desulfosediminicola flagellatus IMCC35005	Desulfosediminicola ganghwensis IMCC35004	Desulfotalea psychrophila LSv54	Desulfovibrio ferrophilus IS5	Desulfovibrio vulgaris DP4	Geobacter sulfurreducens PCA	Shewanella oneidensis MR-1
Acidithiobacillus ferrooxidans YNTRS-40	0.0	87.0	102.0	85.0	62.0	124.0	103.0	58.0	66.0	68.0	100.0	89.0
Desulfocapsa sulfexigens DSM 10523	82.0	0.0	141.0	123.0	36.0	146.0	95.0	62.0	82.0	65.0	108.0	92.0
Desulfocapsa_06_corrosive	89.0	73.0	0.0	114.0	37.0	167.0	111.0	65.0	83.0	85.0	109.0	97.0
Desulfocapsa_13_biocide	75.0	65.0	119.0	0.0	36.0	166.0	119.0	62.0	78.0	74.0	111.0	100.0
Desulforhopalus vacuolatus DSM 9700	79.0	84.0	114.0	100.0	0.0	184.0	127.0	74.0	71.0	56.0	89.0	82.0
Desulfosediminicola flagellatus IMCC35005	102.0	98.0	162.0	157.0	50.0	0.0	112.0	62.0	96.0	85.0	113.0	122.0
Desulfosediminicola ganghwensis IMCC35004	91.0	91.0	134.0	144.0	48.0	192.0	0.0	77.0	75.0	68.0	110.0	120.0
Desulfotalea psychrophila LSv54	76.0	59.0	112.0	102.0	43.0	145.0	107.0	0.0	67.0	51.0	90.0	91.0
Desulfovibrio ferrophilus IS5	95.0	99.0	145.0	130.0	53.0	184.0	155.0	64.0	0.0	83.0	115.0	107.0
Desulfovibrio vulgaris DP4	92.0	110.0	134.0	133.0	55.0	176.0	136.0	73.0	118.0	0.0	99.0	111.0
Geobacter sulfurreducens PCA	98.0	109.0	138.0	140.0	65.0	202.0	151.0	89.0	117.0	85.0	0.0	112.0
Shewanella oneidensis MR-1	118.0	91.0	143.0	128.0	86.0	193.0	169.0	96.0	111.0	103.0	120.0	0.0
