Orthogroup	Desulfocapsa_06_corrosive	Other
OG0000049	Utg323180_54	WP_049785016.1
OG0000049	Utg323180_54	WP_010941476.1, WP_010941028.1
OG0000049	Utg323180_54	WP_011073980.1, WP_164925751.1, WP_011073209.1
OG0000049	Utg323180_54	WP_136798429.1, WP_136798433.1, WP_136795482.1
OG0000049	Utg323180_54	WP_136809400.1
OG0000049	Utg323180_54	WP_015402823.1
OG0000049	Utg323180_54	WP_015402823.1
