Orthogroup	Desulfosediminicola flagellatus IMCC35005	Desulfocapsa_06_corrosive
OG0000000	WP_136805244.1	Utg323632_218
OG0000000	WP_136809874.1, WP_136808305.1	Utg323180_444
OG0000000	WP_136806168.1	Utg323262_151
OG0000000	WP_136807632.1	Utg323180_138
OG0000000	WP_136808413.1	Utg323990_62
OG0000000	WP_136805435.1	Utg323074_126
OG0000000	WP_136809847.1	Utg323262_146
OG0000000	WP_136808161.1	Utg323152_90
OG0000000	WP_136808356.1	Utg323180_238, Utg323316_173
OG0000000	WP_136809937.1	Utg323140_46
OG0000000	WP_136808232.1	Utg323140_105
OG0000000	WP_217909566.1	Utg323632_66
OG0000000	WP_136806271.1	Utg323990_84
OG0000000	WP_136807046.1	Utg323152_286
OG0000000	WP_136810243.1	Utg323632_278, Utg323152_278
OG0000000	WP_136810261.1, WP_136810305.1, WP_136810299.1	Utg323140_222
OG0000000	WP_136809765.1	Utg323392_13
OG0000000	WP_136807718.1, WP_136805463.1	Utg323180_69
OG0000000	WP_136806758.1	Utg323180_151
OG0000000	WP_217909594.1, WP_167505720.1	Utg323152_529
OG0000000	WP_136808658.1	Utg323990_174
OG0000000	WP_136805922.1	Utg323152_412
OG0000001	WP_136806607.1, WP_167505925.1	Utg323180_225
OG0000001	WP_136808786.1	Utg323180_287
OG0000001	WP_136807476.1	Utg323180_136
OG0000001	WP_136809287.1	Utg323300_105
OG0000001	WP_136810389.1	Utg324810_63
OG0000001	WP_136809201.1, WP_136809645.1	Utg325220_101
OG0000001	WP_136807061.1	Utg323316_129
OG0000002	WP_136805222.1	Utg323632_46
OG0000002	WP_176371628.1	Utg323300_181
OG0000002	WP_136807752.1	Utg323316_94
OG0000002	WP_217909654.1, WP_136806069.1	Utg323300_202
OG0000003	WP_136806109.1	Utg325220_107
OG0000003	WP_136810764.1	Utg323632_206
OG0000003	WP_136806600.1, WP_136805594.1	Utg323300_45
OG0000003	WP_136807522.1	Utg323140_167, Utg323140_166
OG0000003	WP_136807708.1, WP_136805154.1	Utg323180_464
OG0000003	WP_136809723.1	Utg323180_430
OG0000004	WP_136810396.1	Utg323316_191, Utg323152_14
OG0000004	WP_136810348.1, WP_136808197.1	Utg323300_52
OG0000004	WP_136805692.1	Utg323152_27, Utg323300_412, Utg323266_76, Utg323266_66
OG0000004	WP_176371583.1, WP_136806049.1, WP_136810154.1, WP_267313779.1, WP_136805478.1, WP_167505723.1	Utg323180_453
OG0000004	WP_136810487.1	Utg323180_502
OG0000004	WP_136805944.1	Utg323180_462
OG0000004	WP_136808745.1	Utg323152_104, Utg323180_416
OG0000004	WP_167505718.1	Utg323632_135
OG0000004	WP_136808192.1	Utg323180_613, Utg323180_419, Utg323262_186
OG0000004	WP_136805197.1, WP_136807033.1, WP_136806447.1	Utg323300_14
OG0000005	WP_136806687.1, WP_136809485.1, WP_136810251.1	Utg323152_472, Utg323392_2, Utg323140_137
OG0000005	WP_136807023.1	Utg323632_133
OG0000005	WP_228723321.1	Utg323262_94
OG0000005	WP_136805496.1	Utg323392_93
OG0000005	WP_136810322.1	Utg323300_274, Utg323392_174
OG0000005	WP_136809159.1	Utg323316_116
OG0000006	WP_136810272.1	Utg323632_356
OG0000006	WP_136805497.1	Utg323392_94
OG0000006	WP_136809441.1, WP_136806566.1	Utg323180_218, Utg323180_148
OG0000007	WP_228723385.1	Utg323632_239
OG0000007	WP_176371586.1	Utg323180_86
OG0000007	WP_136805469.1	Utg323632_51
OG0000007	WP_136809767.1	Utg323152_106
OG0000007	WP_136809687.1	Utg323316_118
OG0000007	WP_136806719.1, WP_136806549.1	Utg323180_130
OG0000007	WP_136809210.1	Utg323632_81
OG0000008	WP_136809211.1	Utg323632_80
OG0000008	WP_136805538.1	Utg323160_91
OG0000008	WP_136806594.1	Utg323300_399
OG0000008	WP_136808272.1	Utg323392_185
OG0000009	WP_217909495.1	Utg323990_129
OG0000009	WP_136810250.1	Utg323632_134
OG0000009	WP_136806688.1	Utg323140_138
OG0000009	WP_136809487.1	Utg323392_3
OG0000009	WP_136807801.1	Utg323180_612
OG0000009	WP_167506082.1, WP_136810412.1	Utg323180_288
OG0000009	WP_136806587.1	Utg323152_586
OG0000010	WP_136809831.1	Utg323316_272, Utg323316_267
OG0000010	WP_136810734.1	Utg323316_270, Utg323074_203
OG0000011	WP_136806782.1, WP_136810628.1	Utg323180_549
OG0000012	WP_167506099.1	Utg323392_111
OG0000012	WP_167505807.1	Utg323140_106
OG0000012	WP_136805114.1	Utg323632_113
OG0000013	WP_136806862.1	Utg323180_446
OG0000013	WP_136806858.1	Utg323180_450
OG0000013	WP_217909556.1, WP_136810308.1	Utg323140_219
OG0000013	WP_136810262.1, WP_136810302.1, WP_136810264.1	Utg323140_226
OG0000014	WP_136808979.1	Utg323262_128
OG0000014	WP_136808641.1	Utg324810_58
OG0000015	WP_136806902.1	Utg323392_212, Utg323632_27
OG0000015	WP_228723428.1	Utg323140_90
OG0000015	WP_167506080.1	Utg325220_80
OG0000016	WP_136807902.1	Utg323152_301
OG0000016	WP_136807829.1, WP_136807338.1	Utg323300_407
OG0000017	WP_136808425.1	Utg323990_193
OG0000017	WP_136808428.1	Utg323990_194
OG0000017	WP_136809551.1, WP_136805229.1	Utg323180_486
OG0000018	WP_136806347.1	Utg323152_201
OG0000019	WP_136810058.1	Utg323140_131
OG0000019	WP_136806103.1, WP_136810512.1, WP_136810372.1	Utg323300_146
OG0000019	WP_217909488.1	Utg323262_127
OG0000020	WP_136810213.1	Utg323152_283, Utg323632_271, Utg323152_268
OG0000020	WP_136807644.1	Utg323180_155
OG0000020	WP_136809851.1	Utg323300_116
OG0000021	WP_136807472.1	Utg323152_38
OG0000022	WP_136806354.1	Utg323152_194
OG0000022	WP_136810853.1	Utg323180_278
OG0000022	WP_136806018.1, WP_136805502.1	Utg323392_113
OG0000023	WP_136809090.1, WP_136808183.1, WP_136806771.1	Utg323180_594
