Orthogroup	Species	Shewanella oneidensis MR-1	Orthologs
OG0000000	Geobacter sulfurreducens PCA	WP_011073030.1, WP_011074304.1	WP_010943217.1
OG0000000	Desulfocapsa_13_biocide	WP_011073030.1	Utg860814_23
OG0000000	Desulfocapsa_06_corrosive	WP_011073030.1	Utg323180_444
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_011073030.1	WP_275888964.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_011073030.1	WP_228721414.1, WP_136796704.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_011073030.1	WP_136809874.1, WP_136808305.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_011074304.1	WP_136806168.1, WP_136807632.1
OG0000000	Desulfocapsa_13_biocide	WP_011074304.1	Utg859236_95, Utg857152_211
OG0000000	Desulfocapsa_06_corrosive	WP_011074304.1	Utg323262_151, Utg323180_138
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_011074304.1	WP_136798610.1, WP_136798351.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_011074304.1	WP_126379949.1
OG0000000	Desulfovibrio vulgaris DP4	WP_011074304.1	WP_010938245.1, WP_011792839.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_011074304.1	WP_205218029.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_011074304.1	WP_015404870.1, WP_015402904.1
OG0000000	Geobacter sulfurreducens PCA	WP_011074101.1	WP_164930426.1
OG0000000	Desulfocapsa_06_corrosive	WP_011074101.1	Utg323180_238, Utg323316_173
OG0000000	Desulfocapsa_13_biocide	WP_011074101.1	Utg863716_60, Utg857046_66
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_011074101.1	WP_136796659.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_011074101.1	WP_136808356.1
OG0000000	Acidithiobacillus ferrooxidans YNTRS-40	WP_011074101.1	WP_229129755.1, WP_012537464.1, WP_012536007.1, WP_012536141.1, WP_012537498.1
OG0000000	Desulfovibrio vulgaris DP4	WP_011073116.1	WP_010940154.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_011073116.1	WP_126381323.1
