Orthogroup	Desulfovibrio vulgaris DP4	Other
OG0000033	WP_011792395.1	WP_217909439.1
OG0000077	WP_010938705.1	WP_205219018.1
OG0000338	WP_010939124.1	WP_136795371.1
OG0000888	WP_011176621.1	Utg860814_318
