Orthogroup	Desulfocapsa_13_biocide	Desulfovibrio vulgaris DP4
OG0000000	Utg858432_110	WP_011791609.1
OG0000000	Utg859236_95	WP_010938245.1, WP_011792839.1
OG0000000	Utg859236_100	WP_011791385.1
OG0000000	Utg864866_50, Utg858432_5	WP_011791326.1
OG0000000	Utg860006_129	WP_010938712.1, WP_011791434.1
OG0000000	Utg859098_179	WP_043629113.1
OG0000000	Utg859098_130, Utg866558_41, Utg859098_137	WP_010938045.1
OG0000000	Utg859098_426	WP_011792079.1
OG0000000	Utg859750_35	WP_011791966.1, WP_011793108.1
OG0000000	Utg860006_108, Utg857046_247, Utg859982_65	WP_011791645.1
OG0000000	Utg861744_76	WP_011787377.1
OG0000000	Utg857076_7	WP_011792800.1
OG0000000	Utg860006_29	WP_010937429.1
OG0000001	Utg863716_50	WP_010937723.1
OG0000001	Utg861448_49	WP_010938239.1, WP_011791528.1, WP_011791603.1
OG0000001	Utg860814_100	WP_010939092.1
OG0000001	Utg859236_118, Utg859432_61	WP_223294637.1
OG0000001	Utg857300_26	WP_010939074.1
OG0000002	Utg859076_23	WP_011791473.1
OG0000002	Utg862138_47	WP_011793015.1
OG0000002	Utg861744_15	WP_206215584.1
OG0000002	Utg857994_102	WP_181409380.1
OG0000002	Utg857152_238	WP_011792919.1
OG0000003	Utg861744_3	WP_011793047.1
OG0000005	Utg857152_208	WP_011791751.1, WP_011791759.1
OG0000005	Utg858432_84, Utg863716_116, Utg857076_41, Utg857994_89, Utg859388_141, Utg863716_9	WP_011791532.1
OG0000007	Utg858432_132	WP_011791331.1
OG0000007	Utg862138_39	WP_010939647.1
OG0000007	Utg857152_200	WP_011791362.1, WP_223294679.1
OG0000008	Utg857152_123	WP_011793161.1
OG0000008	Utg859388_41	WP_011791419.1
OG0000008	Utg859098_370	WP_011791653.1
OG0000009	Utg860006_74	WP_011792516.1, WP_011787365.1
OG0000009	Utg860814_199, Utg860814_198	WP_011791502.1
OG0000011	Utg859982_61	WP_011791648.1
OG0000011	Utg857682_167	WP_010937320.1, WP_010938006.1
OG0000012	Utg859388_126	WP_011791325.1
OG0000012	Utg864866_48, Utg864866_49	WP_010938711.1
OG0000012	Utg858432_54	WP_011791433.1
OG0000013	Utg860814_26, Utg860814_31	WP_010937456.1
OG0000014	Utg859076_41, Utg857994_28	WP_010939857.1
OG0000015	Utg864866_65	WP_011792453.1
OG0000016	Utg859236_123	WP_010938884.1, WP_010939351.1
OG0000018	Utg859098_213	WP_011787361.1
OG0000019	Utg864866_31	WP_010938382.1
OG0000020	Utg857152_214	WP_010937483.1
OG0000021	Utg859098_363	WP_011791863.1
OG0000023	Utg860814_169	WP_010939713.1, WP_011792776.1
OG0000024	Utg863716_104	WP_011791375.1
OG0000024	Utg859098_279	WP_011792124.1
OG0000027	Utg863716_17, Utg857300_35, Utg857300_34, Utg857046_152, Utg857046_153	WP_011791819.1, WP_011792816.1, WP_011791657.1
OG0000028	Utg857076_67	WP_011791856.1
OG0000028	Utg864866_101, Utg860006_30, Utg864866_102	WP_043629613.1
OG0000028	Utg860814_34	WP_043629606.1, WP_010940474.1
OG0000029	Utg859982_26	WP_011792424.1
OG0000030	Utg861744_16	WP_011792490.1
OG0000030	Utg857994_103	WP_010937417.1
OG0000030	Utg857152_237	WP_010937694.1
OG0000031	Utg857490_1	WP_011792678.1
OG0000031	Utg857076_58	WP_010939674.1
OG0000033	Utg860814_171	WP_011792568.1
OG0000034	Utg859388_40, Utg859388_39	WP_011791418.1
OG0000034	Utg859098_369	WP_011791654.1
OG0000035	Utg857152_33	WP_011792514.1, WP_181409361.1, WP_011791918.1, WP_010939346.1, WP_011792644.1
OG0000036	Utg859982_60	WP_011791649.1
OG0000037	Utg857994_225, Utg859098_26, Utg857300_65, Utg857490_34, Utg857300_66	WP_011787303.1
OG0000038	Utg860006_50	WP_010938341.1
OG0000038	Utg860814_278	WP_010938662.1
OG0000040	Utg857994_193	WP_010937647.1
OG0000040	Utg860814_311	WP_011787337.1
OG0000040	Utg859098_48, Utg860006_147	WP_043629357.1
OG0000041	Utg859098_368	WP_011791655.1
OG0000042	Utg857152_197	WP_011792510.1
OG0000042	Utg857152_116, Utg859236_105	WP_011791387.1
OG0000043	Utg857300_6, Utg859236_121, Utg860814_118, Utg859750_58, Utg860814_180	WP_010938268.1
OG0000046	Utg860006_158	WP_011792325.1
OG0000046	Utg857152_215	WP_081428943.1
OG0000047	Utg858432_158, Utg857046_163, Utg857994_168	WP_223294624.1
